CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
297	15140	Brownsville, TN Micro Area	2	1380741545	2472509	     533.107	       0.955	 35.586690	 -89.282536                                                                                              
154	15180	Brownsville-Harlingen, TX Metro Area	1	2307891059	998035120	     891.082	     385.344	 26.102923	 -97.478958                                                                                  
360	15340	Bucyrus, OH Micro Area	2	1040619676	2359515	     401.786	       0.911	 40.848524	 -82.924783                                                                                                  
160	15380	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	1	4053461565	2075808011	    1565.050	     801.474	 43.044371	 -78.777335                                                                     
268	15500	Burlington, NC Metro Area	1	1096654283	28025249	     423.421	      10.821	 36.043954	 -79.400573                                                                                              
122	15660	Calhoun, GA Micro Area	2	921538730	5787828	     355.808	       2.235	 34.509667	 -84.873862                                                                                                   
548	15680	California-Lexington Park, MD Metro Area	1	925665243	1053737256	     357.401	     406.850	 38.220289	 -76.530384                                                                              
548	15700	Cambridge, MD Micro Area	2	1400542033	1145384766	     540.752	     442.236	 38.429196	 -76.047433                                                                                             
198	15740	Cambridge, OH Micro Area	2	1352631187	15666075	     522.254	       6.049	 40.056665	 -81.497875                                                                                               
444	15860	Cañon City, CO Micro Area	2	3970664556	2235368	    1533.082	       0.863	 38.455170	-105.424958                                                                                               
427	15900	Canton, IL Micro Area	2	2241880793	43973314	     865.595	      16.978	 40.465240	 -90.202269                                                                                                  
184	15940	Canton-Massillon, OH Metro Area	1	2512120681	24803479	     969.935	       9.577	 40.711072	 -81.261474                                                                                        
162	15980	Cape Coral-Fort Myers, FL Metro Area	1	2030766730	1109263864	     784.083	     428.289	 26.559035	 -81.891994                                                                                 
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708762133	72939838	    1431.961	      28.162	 37.325936	 -89.762639                                                                                       
456	16180	Carson City, NV Metro Area	1	374669606	32587484	     144.661	      12.582	 39.153060	-119.747379                                                                                              
168	16300	Cedar Rapids, IA Metro Area	1	5202728160	29042033	    2008.785	      11.213	 42.086329	 -91.631144                                                                                            
122	16340	Cedartown, GA Micro Area	2	803772833	4667496	     310.338	       1.802	 33.996015	 -85.188338                                                                                                 
338	16380	Celina, OH Micro Area	2	1197738405	28425902	     462.449	      10.975	 40.535333	 -84.632059                                                                                                  
476	16460	Centralia, IL Micro Area	2	1482442355	9487928	     572.374	       3.663	 38.648106	 -88.920488                                                                                                
500	16500	Centralia, WA Micro Area	2	6223242260	86862888	    2402.807	      33.538	 46.580071	-122.377444                                                                                               
548	16540	Chambersburg-Waynesboro, PA Metro Area	1	2000052118	1544300	     772.224	       0.596	 39.926685	 -77.724497                                                                                  
170	16620	Charleston, WV Metro Area	1	4519800292	33224908	    1745.105	      12.828	 38.283213	 -81.492557                                                                                              
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	13117140539	291022927	    5064.556	     112.365	 35.187295	 -80.867491                                                                         
174	16860	Chattanooga, TN-GA Metro Area	1	5410482115	126482495	    2088.999	      48.835	 35.049361	 -85.361158                                                                                         
176	16980	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1	18639486887	6168927619	    7196.746	    2381.836	 41.823521	 -87.828297                                                                       
198	17060	Chillicothe, OH Micro Area	2	1784987272	9938174	     689.187	       3.837	 39.323818	 -83.059581                                                                                              
178	17140	Cincinnati, OH-KY-IN Metro Area	1	10788977492	192041322	    4165.648	      74.148	 39.069458	 -84.427153                                                                                      
185	17380	Cleveland, MS Micro Area	2	2270314789	75742137	     876.573	      29.244	 33.799139	 -90.884120                                                                                               
174	17420	Cleveland, TN Metro Area	1	1977188283	26789601	     763.397	      10.344	 35.138118	 -84.655075                                                                                               
184	17460	Cleveland-Elyria, OH Metro Area	1	5177650833	5128885210	    1999.102	    1980.274	 41.760392	 -81.724217                                                                                      
209	17540	Clinton, IA Micro Area	2	1799830899	39514681	     694.919	      15.257	 41.898073	 -90.534243                                                                                                 
188	17580	Clovis, NM Micro Area	2	3640111191	8177604	    1405.455	       3.157	 34.572984	-103.346055                                                                                                   
434	17620	Coamo, PR Micro Area	2	202052316	38061	      78.013	       0.015	 18.103800	 -66.357586                                                                                                       
490	17640	Coco, PR Micro Area	2	179660999	115910809	      69.368	      44.753	 17.971485	 -66.262252                                                                                                    
518	17660	Coeur d'Alene, ID Metro Area	1	3205258073	185023363	    1237.557	      71.438	 47.677113	-116.694918                                                                                          
190	17860	Columbia, MO Metro Area	1	1775580802	14222231	     685.556	       5.491	 38.989861	 -92.310202                                                                                                
192	17900	Columbia, SC Metro Area	1	9590673414	339397196	    3702.980	     131.042	 34.084175	 -81.040597                                                                                               
194	17980	Columbus, GA-AL Metro Area	1	5014774447	61083812	    1936.215	      23.585	 32.436836	 -84.900879                                                                                             
294	18020	Columbus, IN Metro Area	1	1053850605	6814131	     406.894	       2.631	 39.205843	 -85.897999                                                                                                 
200	18060	Columbus, MS Micro Area	2	1309077219	28560499	     505.438	      11.027	 33.471424	 -88.439723                                                                                                
198	18140	Columbus, OH Metro Area	1	12423184002	138954292	    4796.618	      53.651	 39.968562	 -82.835911                                                                                              
148	18180	Concord, NH Micro Area	2	2415829018	57547411	     932.757	      22.219	 43.299579	 -71.680041                                                                                                 
458	18220	Connersville, IN Micro Area	2	556901540	366408	     215.021	       0.141	 39.639655	 -85.185032                                                                                               
236	18500	Corning, NY Micro Area	2	3601567659	34992742	    1390.573	      13.511	 42.266725	 -77.385525                                                                                                 
204	18580	Corpus Christi, TX Metro Area	1	4620110263	1599339957	    1783.835	     617.509	 27.898931	 -97.401236                                                                                        
206	18620	Corsicana, TX Micro Area	2	2614935353	197626174	    1009.632	      76.304	 32.048448	 -96.476909                                                                                              
296	18660	Cortland, NY Micro Area	2	1291815779	7112822	     498.773	       2.746	 42.594039	 -76.076240                                                                                                 
440	18700	Corvallis, OR Metro Area	1	1748712528	7740249	     675.182	       2.989	 44.493882	-123.424664                                                                                                
525	18780	Craig, CO Micro Area	2	12284943876	19803412	    4743.244	       7.646	 40.616358	-108.211099                                                                                                  
294	18820	Crawfordsville, IN Micro Area	2	1306954200	2144021	     504.618	       0.828	 40.040296	 -86.892715                                                                                           
142	18980	Cullman, AL Micro Area	2	1903376541	52118974	     734.898	      20.123	 34.131923	 -86.869267                                                                                                 
206	19100	Dallas-Fort Worth-Arlington, TX Metro Area	1	24035445889	921708995	    9280.138	     355.874	 32.822558	 -97.025131                                                                           
174	19140	Dalton, GA Metro Area	1	1644529878	7253399	     634.957	       2.801	 34.796922	 -84.856330                                                                                                   
380	19300	Daphne-Fairhope-Foley, AL Metro Area	1	4117584019	1133130502	    1589.808	     437.504	 30.659218	 -87.746067                                                                                 
209	19340	Davenport-Moline-Rock Island, IA-IL Metro Area	1	5878613371	114201813	    2269.745	      44.094	 41.391680	 -90.460076                                                                        
212	19380	Dayton, OH Metro Area	1	3320017396	21705369	    1281.866	       8.380	 39.828854	 -84.141813                                                                                                  
174	19420	Dayton, TN Micro Area	2	816823241	54463143	     315.377	      21.028	 35.600587	 -84.949552                                                                                                   
290	19460	Decatur, AL Metro Area	1	3289381161	119693420	    1270.037	      46.214	 34.489361	 -87.097147                                                                                                
258	19540	Decatur, IN Micro Area	2	878079482	2429955	     339.028	       0.938	 40.745733	 -84.936130                                                                                                   
422	19660	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	1	4109406178	1078990196	    1586.651	     416.600	 29.178900	 -81.189023                                                                    
216	19740	Denver-Aurora-Lakewood, CO Metro Area	1	21615699174	147292315	    8345.868	      56.870	 39.434749	-104.901209                                                                                
217	19760	DeRidder, LA Micro Area	2	2997502171	21999001	    1157.342	       8.494	 30.645018	 -93.340253                                                                                                
